year,ref_date,variable,value,area_name,full_area_name,area_level,country_name,grouping,record_created,record_updated,source_org,source_title,source_pub_date,frequency,source_link,notes
1987,31/12/1987,dwellings,1670040,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1988,31/12/1988,dwellings,1689336,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1989,31/12/1989,dwellings,1706159,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1990,31/12/1990,dwellings,1712848,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1991,31/12/1991,dwellings,1723142,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1992,31/12/1992,dwellings,1734320,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1993,31/12/1993,dwellings,1744561,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1994,31/12/1994,dwellings,1753409,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1995,31/12/1995,dwellings,1770346,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
1996,31/12/1996,dwellings,1792443,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
